p,metodo,tiempo_segundos,speedup,eficiencia
1,auto,141.45345370299765,1.0,1.0
2,auto,78.31920826200076,1.8061144493416519,0.9030572246708259
3,auto,60.95869164499891,2.32048047433122,0.77349349144374
4,auto,37.638954135996755,3.7581664249197577,0.9395416062299394
5,auto,36.678859444997215,3.856539048470633,0.7713078096941266
6,auto,28.116983754000103,5.030890046407398,0.838481674401233
7,auto,50.92917820200091,2.7774540783271506,0.3967791540467358
8,auto,41.755924541997956,3.3876259537906837,0.42345324422383546
1,sklearn,139.80126582500088,1.0,1.0
2,sklearn,69.92936183400161,1.9991783445251692,0.9995891722625846
3,sklearn,38.08370139700128,3.6708949155874033,1.2236316385291344
4,sklearn,35.883498187999066,3.895976504090012,0.973994126022503
5,sklearn,48.24391604900302,2.897800951377991,0.5795601902755982
6,sklearn,41.2652899609966,3.38786583002662,0.5646443050044366
7,sklearn,53.93317039300018,2.59212030011025,0.37030290001575
8,sklearn,32.60560774899932,4.287644840151506,0.5359556050189382
1,numpy,19.41461585700017,1.0,1.0
2,numpy,15.27584966699942,1.2709352527173512,0.6354676263586756
3,numpy,6.663598830004048,2.9135331151062673,0.9711777050354224
4,numpy,6.805958711003768,2.8525908959175617,0.7131477239793904
5,numpy,9.10598344799655,2.1320723860168744,0.4264144772033749
6,numpy,5.055933600997378,3.8399665401401384,0.6399944233566898
7,numpy,7.309512617001019,2.6560752917840493,0.37943932739772135
8,numpy,4.8587396389993955,3.995813173681066,0.49947664671013325
